"date","city","property_type","benchmark_price","source","created_at"
"2005-06-01","Ottawa","House","228100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-06-01","Ottawa","Town House","165000","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-06-01","Toronto","All","328800","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-06-01","Toronto","Apartment","206200","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-06-01","Toronto","House","377200","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-06-01","Toronto","Town House","217400","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-06-01","Vancouver","All","370100","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-06-01","Vancouver","Apartment","233500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-06-01","Vancouver","House","555500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-06-01","Vancouver","Town House","299900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-06-01","Victoria","All","328500","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-06-01","Victoria","Apartment","191500","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-06-01","Victoria","House","405600","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-06-01","Victoria","Town House","289700","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-06-01","Winnipeg","All","128200","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-06-01","Winnipeg","Apartment","108600","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-06-01","Winnipeg","House","130000","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-06-01","Winnipeg","Town House","117900","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-07-01","Calgary","All","224200","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-07-01","Calgary","Apartment","140100","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-07-01","Calgary","House","247100","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-07-01","Calgary","Town House","167500","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-07-01","Edmonton","All","176500","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-07-01","Edmonton","Apartment","109500","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-07-01","Edmonton","House","203000","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-07-01","Edmonton","Town House","118700","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-07-01","Ottawa","All","222000","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-07-01","Ottawa","Apartment","197600","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
