"date","city","metric","value","source","created_at"
"2008-10-01","Canada","mortgage_rate","7.2","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-10-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-10-01","Canada","unemployment_rate","6.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-11-01","Canada","mortgage_rate","7.2","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-11-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-11-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-12-01","Canada","mortgage_rate","6.75","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-12-01","Canada","overnight_rate","1.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-12-01","Canada","unemployment_rate","7.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-01-01","Canada","mortgage_rate","5.79","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-01-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-01-01","Canada","unemployment_rate","7.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-02-01","Canada","mortgage_rate","5.79","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-02-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-02-01","Canada","unemployment_rate","8.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-03-01","Canada","mortgage_rate","5.55","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-03-01","Canada","overnight_rate","0.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-03-01","Canada","unemployment_rate","8.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-04-01","Canada","mortgage_rate","5.25","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-04-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-04-01","Canada","unemployment_rate","8.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-05-01","Canada","mortgage_rate","5.25","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-05-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-05-01","Canada","unemployment_rate","8.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-06-01","Canada","mortgage_rate","5.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-06-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-06-01","Canada","unemployment_rate","8.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-07-01","Canada","mortgage_rate","5.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-07-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-07-01","Canada","unemployment_rate","8.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-08-01","Canada","mortgage_rate","5.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-08-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-08-01","Canada","unemployment_rate","8.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-09-01","Canada","mortgage_rate","5.49","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-09-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
